table,_time,_value,baseline
0,2024-04-11T08:28:42.073Z,3339,cspcd.cis_master.10189
0,2024-04-12T13:33:18.687Z,2935,cspcd.cis_master.10198
0,2024-04-12T18:22:16.969Z,3489,cspcd.cis_master.10217
0,2024-04-15T08:55:34.879Z,2258,cspcd.cis_master.10224
0,2024-04-15T16:07:16.394Z,2992,cspcd.cis_master.10228
0,2024-04-16T10:29:53.914Z,2085,cspcd.cis_master.10234
0,2024-04-17T13:24:46.109Z,4315,cspcd.cis_master.10266
0,2024-04-18T14:52:37.295Z,7870,cspcd.cis_master.10290
0,2024-04-18T18:41:08.341Z,2852,cspcd.cis_master.10295
0,2024-04-19T10:41:57.344Z,3472,cspcd.cis_master.10314
