,result,table,_start,_stop,_time,_value,_field,_measurement,machine,name
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.953284608Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.95382784Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.95339776Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.954003456Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953265152Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953859328Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.953310208Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.95385472Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,0,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:54:00.953292544Z,0,active_occupants,zones,apache2-NUC9i9,Zone-0
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.953284608Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.95382784Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.95339776Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.954003456Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953265152Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953859328Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.953310208Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.95385472Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
,,3,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:54:00.953292544Z,0,active_occupants,zones,apache2-NUC9i9,Zone-1
