,result,table,_start,_stop,_time,_value,_field,_measurement,machine,name
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.953284608Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.95382784Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.95339776Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:54.954003456Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953265152Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:56.953859328Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.953310208Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:58.95385472Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,2,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:54:00.953292544Z,"[{""x"": 10.08, ""y"": 22.53}, {""x"": 13.84, ""y"": 5.36}, {""x"": 31.4, ""y"": 3.51}, {""x"": 27.01, ""y"": 20.11}, {""x"": 10.08, ""y"": 22.53}]",vertices,zones,apache2-NUC9i9,Zone-0
,,5,2024-10-08T01:53:09.004958377Z,2024-10-08T01:54:09.004958377Z,2024-10-08T01:53:52.953284608Z,"[{""x"": -18.27, ""y"": 10.88}, {""x"": -10.69, ""y"": 10.88}, {""x"": -11.02, ""y"": 6.87}, {""x"": -18.6, ""y"": 6.76}, {""x"": -18.27, ""y"": 10.88}]",vertices,zones,apache2-NUC9i9,Zone-1
